rent,bed,bath,school,elemenatary_school,middle_school,high_school,car_commute_percent,total_amenties,laundry,ac,dishwasher,washer,dryer,fridge,pet_allowed,parking,restaurant,grocery,nightlife,area_Allston,area_Back Bay/ Beacon Hill,area_Central,area_Charlestown,area_Dorchester,area_East Boston,area_Fenway,area_Hyde Park,area_Jamaica Plain,area_Mattapan,area_Mission Hill,area_Roslindale,area_Roxbury,area_South Boston,area_South End,area_West Roxbury,property_type_apartment,property_type_condo,property_type_multifamily,property_type_singlefamily,property_type_townhouse,crime_High,crime_Highest,crime_Low,crime_Lowest,crime_Moderate,area
2500,3.0,1.0,12,6,3,3,41,5,1,0,1,1,1,1,1,0,198,34,56,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,East Boston
1850,1.0,1.0,7,3,2,2,41,1,0,0,0,0,0,1,0,0,70,10,15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,East Boston
3300,4.0,2.0,8,4,2,2,41,3,1,0,0,1,1,0,1,1,63,8,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,East Boston
3400,4.0,1.0,10,4,3,3,41,3,1,0,0,1,1,0,0,1,313,43,121,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,East Boston
1475,1.0,1.0,11,7,4,0,41,0,0,0,0,0,0,0,0,0,254,38,78,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,East Boston
2995,3.0,1.0,6,4,1,1,41,5,1,0,1,1,1,1,1,1,199,31,56,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,East Boston
2400,3.0,1.0,8,4,2,2,41,0,0,0,0,0,0,0,0,0,164,45,32,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,East Boston
3100,4.0,1.0,8,4,2,2,41,0,0,0,0,0,0,0,0,0,164,45,32,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,East Boston
3300,3.0,2.0,9,5,2,2,41,2,0,0,1,0,0,1,1,1,167,43,32,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,East Boston
2525,3.0,1.0,10,4,3,3,41,5,1,0,1,1,1,1,1,1,306,39,119,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,East Boston
2600,3.0,1.0,5,3,0,2,41,5,1,0,1,1,1,1,0,0,198,33,54,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,East Boston
3350,4.0,1.0,11,5,3,3,41,3,1,0,0,1,1,0,0,0,313,43,121,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,East Boston
