rent,area,property_type,bed,bath,school,elemenatary_school,middle_school,high_school,crime,car_commute_percent,total_amenties,laundary,ac,dishwasher,washer,dryer,fridge,pet_allowed,parking,restaurant,grocery,nightlife,url
2800,East Boston,multifamily,4.0,1.0,6,2,2,2,Lowest,41,3,0,0,1,1,1,0,0,1,121,20,24,https://www.trulia.com/p/ma/boston/756-saratoga-st-2-boston-ma-02128--2174297459
2850,East Boston,multifamily,4.0,1.0,6,2,2,2,Lowest,41,4,0,0,1,1,1,1,1,1,145,24,27,https://www.trulia.com/p/ma/boston/718-saratoga-st-3-boston-ma-02128--2171486865
1995,East Boston,multifamily,2.0,1.0,9,5,2,2,Low,41,0,0,0,0,0,0,0,1,0,164,37,36,https://www.trulia.com/p/ma/boston/40-marion-st-1-e-boston-ma-02128--2479664642
2450,East Boston,multifamily,3.0,1.0,10,4,3,3,Lowest,41,0,0,0,0,0,0,0,0,0,345,46,140,https://www.trulia.com/p/ma/east-boston/303-maverick-st-east-boston-ma-02128--2001527109
2600,East Boston,multifamily,3.0,1.0,10,4,3,3,Low,41,1,0,0,0,0,0,1,1,0,551,67,215,https://www.trulia.com/p/ma/boston/28-orleans-st-3-boston-ma-02128--2171575120
2525,East Boston,multifamily,3.0,1.0,10,4,3,3,Lowest,41,4,0,0,1,1,1,1,1,1,306,39,119,https://www.trulia.com/p/ma/boston/280-maverick-st-1-boston-ma-02128--2171568904
2600,East Boston,multifamily,3.0,1.0,4,2,0,2,Low,41,4,0,0,1,1,1,1,0,1,214,38,57,https://www.trulia.com/p/ma/boston/299-lexington-st-1-boston-ma-02128--2171568679
2600,East Boston,multifamily,3.0,1.0,11,5,3,3,Lowest,41,2,0,0,0,1,1,0,1,0,284,36,104,https://www.trulia.com/p/ma/boston/145-cottage-st-3-boston-ma-02128--2295906249
2550,East Boston,multifamily,3.0,1.0,10,4,3,3,Low,41,0,0,0,0,0,0,0,0,0,446,62,179,https://www.trulia.com/p/ma/boston/219-maverick-st-2-boston-ma-02128--2176728870
2575,East Boston,multifamily,3.0,1.0,10,4,3,3,Lowest,41,2,0,0,1,0,0,1,0,0,421,62,164,https://www.trulia.com/p/ma/boston/114-everett-st-1-boston-ma-02128--2171807711
2600,East Boston,multifamily,3.0,1.0,11,5,3,3,Lowest,41,3,0,0,0,1,1,1,0,0,284,36,104,https://www.trulia.com/p/ma/boston/145-cottage-st-2-boston-ma-02128--2178153503
1475,East Boston,multifamily,1.0,1.0,11,7,4,0,Moderate,41,0,0,0,0,0,0,0,0,0,254,38,78,https://www.trulia.com/p/ma/boston/144-chelsea-st-2f-boston-ma-02128--2445375498
2800,East Boston,multifamily,4.0,1.0,6,2,2,2,Lowest,41,0,0,0,0,0,0,0,0,0,93,14,17,https://www.trulia.com/p/ma/boston/809-saratoga-st-2-boston-ma-02128--2172407794
2000,East Boston,multifamily,2.0,1.0,7,3,2,2,Lowest,41,2,0,0,1,0,0,1,0,1,225,33,77,https://www.trulia.com/p/ma/boston/238-everett-st-1-boston-ma-02128--2172407037
2750,East Boston,multifamily,4.0,1.0,10,4,3,3,Lowest,41,2,0,0,1,0,0,1,0,0,421,62,164,https://www.trulia.com/p/ma/boston/114-everett-st-3-boston-ma-02128--2171807715
1995,East Boston,multifamily,2.0,1.0,9,5,2,2,Low,41,0,0,0,0,0,0,0,1,0,215,41,56,https://www.trulia.com/p/ma/boston/44-marion-st-3-e-boston-ma-02128--2479146554
2800,East Boston,multifamily,4.0,1.0,8,4,2,2,Low,41,0,0,0,0,0,0,0,0,0,164,45,32,https://www.trulia.com/p/ma/boston/451-meridian-st-1-boston-ma-02128--2176728858
2200,East Boston,multifamily,2.0,1.0,7,3,2,2,Lowest,41,3,0,0,0,1,1,1,0,1,225,33,77,https://www.trulia.com/p/ma/boston/367-maverick-st-1-boston-ma-02128--2171577088
3200,East Boston,multifamily,4.0,1.0,11,5,3,3,Lowest,41,4,0,0,1,1,1,1,1,1,284,36,104,https://www.trulia.com/p/ma/boston/143-cottage-st-3-boston-ma-02128--2171808414
3200,East Boston,multifamily,4.0,1.0,8,4,2,2,Lowest,41,2,0,0,0,1,1,0,0,1,65,7,11,https://www.trulia.com/p/ma/boston/746-bennington-st-2-boston-ma-02128--2174005408
3200,East Boston,multifamily,4.0,1.0,4,2,0,2,Lowest,41,2,0,0,1,0,0,1,0,1,167,38,34,https://www.trulia.com/p/ma/boston/204-falcon-st-2-boston-ma-02128--2316172057
3200,East Boston,multifamily,4.0,1.0,9,5,2,2,Lowest,41,4,0,0,1,1,1,1,0,0,163,38,32,https://www.trulia.com/p/ma/boston/101-falcon-st-2-boston-ma-02128--2171808397
3200,East Boston,multifamily,4.0,1.0,8,4,2,2,Low,41,0,0,0,0,0,0,0,0,0,164,45,32,https://www.trulia.com/p/ma/boston/451-meridian-st-3-boston-ma-02128--2176728985
3100,East Boston,multifamily,4.0,1.0,8,4,2,2,Low,41,0,0,0,0,0,0,0,0,0,164,45,32,https://www.trulia.com/p/ma/boston/451-meridian-st-3-boston-ma-02128--2176728985
3050,East Boston,multifamily,4.0,1.0,15,7,4,4,Lowest,41,4,0,0,1,1,1,1,0,0,226,35,61,https://www.trulia.com/p/ma/boston/261-havre-st-3-boston-ma-02128--2171808489
3100,East Boston,multifamily,4.0,1.0,8,4,2,2,Lowest,41,2,0,0,1,0,0,1,0,1,65,7,11,https://www.trulia.com/p/ma/boston/746-bennington-st-3-boston-ma-02128--2174005411
3075,East Boston,multifamily,4.0,1.0,2,2,0,0,Lowest,41,3,0,0,1,1,1,0,0,1,48,8,10,https://www.trulia.com/p/ma/boston/17-breed-st-2-boston-ma-02128--2443819049
2800,East Boston,multifamily,4.0,1.0,10,4,3,3,Low,41,2,0,0,1,0,0,1,0,0,467,62,189,https://www.trulia.com/p/ma/boston/284-sumner-st-2-boston-ma-02128--2171568444
2500,East Boston,multifamily,3.0,1.0,12,6,3,3,Low,41,0,0,0,0,0,0,0,1,0,198,34,56,https://www.trulia.com/p/ma/east-boston/220-saratoga-st-east-boston-ma-02128--1001644174
3000,East Boston,multifamily,4.0,1.0,11,5,3,3,Lowest,41,4,0,0,1,1,1,1,0,1,284,36,104,https://www.trulia.com/p/ma/boston/143-cottage-st-2-boston-ma-02128--2174569825
2200,East Boston,multifamily,2.0,1.0,10,4,3,3,Low,41,3,0,0,0,1,1,1,1,1,551,67,215,https://www.trulia.com/p/ma/boston/28-orleans-st-1-boston-ma-02128--2171575667
2100,East Boston,multifamily,2.0,1.0,12,6,3,3,High,41,3,0,0,1,1,1,0,0,1,258,43,73,https://www.trulia.com/p/ma/boston/33-princeton-st-3-boston-ma-02128--2174305680
2200,East Boston,multifamily,2.0,1.0,6,4,1,1,Low,41,2,0,0,1,0,0,1,1,1,196,32,55,https://www.trulia.com/p/ma/boston/329-paris-st-2-boston-ma-02128--2357268170
2200,East Boston,multifamily,2.0,1.0,12,6,3,3,High,41,2,0,0,0,1,1,0,0,0,258,43,73,https://www.trulia.com/p/ma/boston/46-princeton-st-2-boston-ma-02128--2171577466
3200,East Boston,multifamily,4.0,1.0,11,5,3,3,Lowest,41,2,0,0,1,0,0,1,0,0,284,36,104,https://www.trulia.com/p/ma/boston/141-cottage-st-2-boston-ma-02128--2172406625
3200,East Boston,multifamily,4.0,1.0,12,6,3,3,Low,41,2,0,0,0,1,1,0,1,0,200,35,53,https://www.trulia.com/p/ma/boston/130-putnam-st-1-boston-ma-02128--2406216915
3000,East Boston,multifamily,4.0,2.0,12,6,3,3,Low,41,2,0,0,1,0,0,1,1,0,203,33,57,https://www.trulia.com/p/ma/boston/154-bennington-st-2-boston-ma-02128--2173374079
3650,East Boston,multifamily,5.0,1.5,6,2,2,2,Lowest,41,4,0,0,1,1,1,1,1,0,89,14,17,https://www.trulia.com/p/ma/boston/678-bennington-st-2-boston-ma-02128--2171576258
3200,East Boston,multifamily,4.0,1.0,6,2,2,2,Lowest,41,4,0,0,1,1,1,1,0,0,93,15,16,https://www.trulia.com/p/ma/boston/130-wordsworth-st-2-boston-ma-02128--2324343641
2195,East Boston,multifamily,2.0,1.0,11,5,3,3,Lowest,41,0,0,0,0,0,0,0,0,0,422,59,169,https://www.trulia.com/p/ma/boston/198-maverick-st-1-boston-ma-02128--2405155816
3000,East Boston,multifamily,4.0,2.5,7,3,2,2,Lowest,41,4,0,0,1,1,1,1,0,1,289,42,111,https://www.trulia.com/p/ma/boston/191-everett-st-2-boston-ma-02128--2171807458
3000,East Boston,multifamily,4.0,2.5,7,3,2,2,Lowest,41,4,0,0,1,1,1,1,0,1,289,42,111,https://www.trulia.com/p/ma/boston/191-everett-st-3-boston-ma-02128--2171826397
2300,East Boston,multifamily,2.0,1.0,11,5,3,3,Lowest,41,1,0,0,1,0,0,0,1,0,422,59,169,https://www.trulia.com/p/ma/boston/208-maverick-st-3r-boston-ma-02128--2171543511
2600,East Boston,multifamily,3.0,1.0,5,3,0,2,Lowest,41,4,0,0,1,1,1,1,0,0,198,33,54,https://www.trulia.com/p/ma/boston/235-bennington-st-2-boston-ma-02128--2364255695
2200,East Boston,multifamily,2.0,1.0,10,4,3,3,Lowest,41,2,0,0,0,1,1,0,0,0,361,49,148,https://www.trulia.com/p/ma/east-boston/264-maverick-st-east-boston-ma-02128--1083521294
1650,East Boston,multifamily,1.0,1.0,12,6,3,3,Low,41,0,0,0,0,0,0,0,1,1,205,34,59,https://www.trulia.com/p/ma/boston/116-brooks-st-3-boston-ma-02128--2322838331
2627,East Boston,apartment,3.0,1.0,7,3,2,2,Lowest,41,4,0,1,1,1,1,0,1,1,88,14,15,https://www.trulia.com/c/ma/east-boston/brandywyne-village-88-brandywyne-dr-east-boston-ma-02128--2001531025
2800,East Boston,multifamily,2.0,1.0,6,4,2,0,High,41,0,0,0,0,0,0,0,1,1,511,66,210,https://www.trulia.com/p/ma/boston/31-cunard-way-10-boston-ma-02128--2454423551
2300,East Boston,multifamily,2.0,1.0,6,2,2,2,Lowest,41,4,0,0,1,1,1,1,0,0,150,28,30,https://www.trulia.com/p/ma/boston/8-curtis-st-3-boston-ma-02128--2443988451
2150,East Boston,multifamily,2.0,1.0,8,4,2,2,Lowest,41,0,0,0,0,0,0,0,1,0,210,36,56,https://www.trulia.com/p/ma/boston/358-princeton-st-1-boston-ma-02128--2346949905
2200,East Boston,multifamily,2.0,1.0,5,3,0,2,Low,41,2,0,0,0,1,1,0,1,1,203,36,53,https://www.trulia.com/p/ma/boston/258-lexington-st-3-boston-ma-02128--2395221389
2100,East Boston,multifamily,2.0,1.0,5,3,0,2,Low,41,2,0,0,0,1,1,0,1,1,203,36,53,https://www.trulia.com/p/ma/boston/258-lexington-st-3-boston-ma-02128--2395221389
2625,East Boston,multifamily,3.0,2.0,8,4,2,2,Lowest,41,0,0,0,0,0,0,0,1,0,162,38,32,https://www.trulia.com/p/ma/boston/136-falcon-st-1-e-boston-ma-02128--2470984405
2400,East Boston,multifamily,2.0,1.0,11,5,3,3,Lowest,41,2,0,0,0,1,1,0,0,0,422,59,169,https://www.trulia.com/p/ma/boston/200-maverick-st-3-boston-ma-02128--2359024929
2400,East Boston,multifamily,2.0,1.0,7,3,2,2,Lowest,41,4,0,0,1,1,1,1,1,1,498,72,194,https://www.trulia.com/p/ma/boston/2-brigham-st-1-boston-ma-02128--2171575948
2400,East Boston,multifamily,2.0,1.0,11,5,3,3,Lowest,41,0,0,0,0,0,0,0,0,0,261,35,88,https://www.trulia.com/p/ma/boston/72-frankfort-st-3r-boston-ma-02128--2173890747
4100,East Boston,multifamily,5.0,2.0,5,3,0,2,Low,41,0,0,0,0,0,0,0,1,0,204,35,55,https://www.trulia.com/p/ma/boston/275-lexington-st-1-boston-ma-02128--2409243866
