rent,area,property_type,bed,bath,school,elemenatary_school,middle_school,high_school,crime,car_commute_percent,total_amenties,laundry,ac,dishwasher,washer,dryer,fridge,pet_allowed,parking,restaurant,grocery,nightlife
3050,East Boston,multifamily,4.0,1.0,15,7,4,4,Lowest,41,5,1,0,1,1,1,1,0,0,226,35,61
3100,East Boston,multifamily,4.0,1.0,8,4,2,2,Lowest,41,2,0,0,1,0,0,1,0,1,65,7,11
3075,East Boston,multifamily,4.0,1.0,2,2,0,0,Lowest,41,4,1,0,1,1,1,0,0,1,48,8,10
2800,East Boston,multifamily,4.0,1.0,10,4,3,3,Low,41,2,0,0,1,0,0,1,0,0,467,62,189
2500,East Boston,multifamily,3.0,1.0,12,6,3,3,Low,41,0,0,0,0,0,0,0,1,0,198,34,56
3000,East Boston,multifamily,4.0,1.0,11,5,3,3,Lowest,41,5,1,0,1,1,1,1,0,1,284,36,104
2100,East Boston,multifamily,2.0,1.0,12,6,3,3,High,41,4,1,0,1,1,1,0,0,1,258,43,73
2200,East Boston,multifamily,2.0,1.0,10,4,3,3,Low,41,4,1,0,0,1,1,1,1,1,551,67,215
2200,East Boston,multifamily,2.0,1.0,6,4,1,1,Low,41,2,0,0,1,0,0,1,1,1,196,32,55
2100,East Boston,multifamily,2.0,1.0,7,3,2,2,Lowest,41,4,1,0,0,1,1,1,1,1,342,43,142
2200,East Boston,multifamily,2.0,1.0,12,6,3,3,High,41,3,1,0,0,1,1,0,0,0,258,43,73
3200,East Boston,multifamily,4.0,1.0,12,6,3,3,Low,41,3,1,0,0,1,1,0,1,0,200,35,53
3200,East Boston,multifamily,4.0,1.0,11,5,3,3,Lowest,41,2,0,0,1,0,0,1,0,0,284,36,104
3000,East Boston,multifamily,4.0,2.0,12,6,3,3,Low,41,2,0,0,1,0,0,1,1,0,203,33,57
3650,East Boston,multifamily,5.0,1.5,6,2,2,2,Lowest,41,5,1,0,1,1,1,1,1,0,89,14,17
3200,East Boston,multifamily,4.0,1.0,6,2,2,2,Lowest,41,5,1,0,1,1,1,1,0,0,93,15,16
2195,East Boston,multifamily,2.0,1.0,11,5,3,3,Lowest,41,0,0,0,0,0,0,0,0,0,422,59,169
3000,East Boston,multifamily,4.0,2.5,7,3,2,2,Lowest,41,5,1,0,1,1,1,1,0,1,289,42,111
3000,East Boston,multifamily,4.0,2.5,7,3,2,2,Lowest,41,5,1,0,1,1,1,1,0,1,289,42,111
2300,East Boston,multifamily,2.0,1.0,11,5,3,3,Lowest,41,2,1,0,1,0,0,0,1,0,422,59,169
2600,East Boston,multifamily,3.0,1.0,5,3,0,2,Lowest,41,5,1,0,1,1,1,1,0,0,198,33,54
2200,East Boston,multifamily,2.0,1.0,10,4,3,3,Lowest,41,3,1,0,0,1,1,0,0,0,361,49,148
1650,East Boston,multifamily,1.0,1.0,12,6,3,3,Moderate,41,0,0,0,0,0,0,0,1,1,205,34,59
2627,East Boston,apartment,3.0,1.0,7,3,2,2,Lowest,41,5,1,1,1,1,1,0,1,1,88,14,15
2800,East Boston,multifamily,2.0,1.0,6,4,2,0,High,41,0,0,0,0,0,0,0,1,1,511,66,210
2300,East Boston,multifamily,2.0,1.0,6,2,2,2,Lowest,41,5,1,0,1,1,1,1,0,0,150,28,30
2150,East Boston,multifamily,2.0,1.0,8,4,2,2,Lowest,41,1,1,0,0,0,0,0,1,0,210,36,56
2200,East Boston,multifamily,2.0,1.0,5,3,0,2,Low,41,3,1,0,0,1,1,0,1,1,203,36,53
2100,East Boston,multifamily,2.0,1.0,5,3,0,2,Low,41,3,1,0,0,1,1,0,1,1,203,36,53
2625,East Boston,multifamily,3.0,2.0,8,4,2,2,Lowest,41,0,0,0,0,0,0,0,1,0,162,38,32
