rent,area,property_type,bed,bath,school,elemenatary_school,middle_school,high_school,crime,car_commute_percent,total_amenties,laundry,ac,dishwasher,washer,dryer,fridge,pet_allowed,parking,restaurant,grocery,nightlife
3200,Central,multifamily,1.0,1.0,6,2,2,2,Lowest,23,2,1,1,0,0,0,0,1,0,892,111,347
1350,Central,multifamily,3.0,1.0,2,2,0,0,Low,18,1,1,0,0,0,0,0,1,1,977,123,389
3000,Central,multifamily,1.0,1.0,6,2,2,2,Lowest,23,3,0,1,1,0,0,1,1,0,892,111,347
6830,Central,multifamily,4.0,3.0,4,3,1,0,Highest,20,3,1,0,0,1,1,0,1,0,966,107,369
3000,Central,multifamily,1.0,1.0,6,2,2,2,Lowest,23,3,0,1,1,0,0,1,1,0,866,108,330
6000,Central,multifamily,2.0,2.0,3,3,0,0,High,20,6,1,1,1,1,1,1,1,0,1005,115,391
3500,Central,multifamily,1.0,1.5,3,1,1,1,Lowest,23,5,1,0,1,1,1,1,1,0,864,109,329
3700,Central,multifamily,1.0,1.0,3,3,0,0,High,20,0,0,0,0,0,0,0,1,0,1005,115,391
4500,Central,multifamily,2.0,2.0,3,3,0,0,High,20,0,0,0,0,0,0,0,1,0,1005,115,391
5000,Central,multifamily,2.0,2.0,3,3,0,0,High,20,5,1,0,1,1,1,1,1,0,1005,115,391
10000,Central,multifamily,2.0,2.5,6,2,2,2,Lowest,23,2,1,1,0,0,0,0,1,1,866,108,330
3650,Central,multifamily,2.0,1.5,6,2,2,2,Lowest,23,6,1,1,1,1,1,1,1,0,862,110,327
4200,Central,multifamily,2.0,2.0,6,2,2,2,Lowest,23,0,0,0,0,0,0,0,1,0,892,111,347
10000,Central,multifamily,1.0,2.5,6,2,2,2,Lowest,23,4,1,1,0,1,1,0,1,0,866,108,330
14750,Central,multifamily,3.0,4.5,4,2,1,1,Lowest,42,6,1,1,1,1,1,1,1,0,908,110,360
6950,Central,multifamily,1.0,2.0,7,3,2,2,Low,23,0,0,0,0,0,0,0,0,0,885,109,343
1900,Central,multifamily,2.0,1.0,2,2,0,0,Moderate,18,1,0,0,0,0,0,1,1,0,978,124,388
2750,Central,multifamily,3.0,1.5,1,1,0,0,High,20,1,0,0,1,0,0,0,1,0,995,114,387
10750,Central,multifamily,3.0,2.5,6,2,2,2,Lowest,23,6,1,1,1,1,1,1,1,0,866,108,330
1990,Central,multifamily,1.0,1.0,3,2,1,0,Moderate,23,2,0,0,1,0,0,1,1,0,900,109,350
3675,Central,multifamily,4.0,3.0,1,1,0,0,High,20,4,1,0,1,1,1,0,1,0,988,112,384
3675,Central,multifamily,4.0,3.0,3,2,1,0,High,20,4,1,0,1,1,1,0,1,0,995,114,387
3675,Central,multifamily,4.0,3.0,3,2,1,0,High,20,3,1,0,0,1,1,0,1,0,995,114,387
2575,Central,multifamily,1.0,1.0,3,2,1,0,High,25,4,1,1,0,1,1,0,1,0,900,109,350
3900,Central,multifamily,4.0,1.0,3,2,1,0,Highest,20,0,0,0,0,0,0,0,1,0,977,107,376
2350,Central,multifamily,1.0,1.0,6,2,2,2,Lowest,23,3,0,1,1,0,0,1,1,0,866,108,330
2700,Central,multifamily,1.0,1.0,6,2,2,2,Lowest,23,1,1,0,0,0,0,0,1,0,862,110,327
2500,Central,multifamily,1.0,1.0,6,2,2,2,Lowest,23,1,0,1,0,0,0,0,1,0,862,110,327
4000,Central,multifamily,2.0,2.5,6,2,2,2,Lowest,23,0,0,0,0,0,0,0,0,0,866,108,330
4000,Central,multifamily,2.0,2.0,4,2,1,1,Low,23,0,0,0,0,0,0,0,1,0,897,112,346
2750,Central,multifamily,1.0,1.0,7,3,2,2,Moderate,25,6,1,1,1,1,1,1,1,0,900,109,350
2750,Central,multifamily,1.0,1.0,6,2,2,2,Lowest,23,0,0,0,0,0,0,0,0,0,866,108,330
4400,Central,multifamily,1.0,1.5,4,2,1,1,Lowest,42,6,1,1,1,1,1,1,1,0,908,110,360
2800,Central,multifamily,1.0,1.0,6,2,2,2,Lowest,23,3,0,1,1,0,0,1,1,0,892,111,347
3200,Central,multifamily,1.0,1.0,7,3,2,2,Low,23,3,1,0,0,1,1,0,1,0,884,107,348
3000,Central,multifamily,1.0,1.0,6,2,2,2,Lowest,23,1,0,1,0,0,0,0,1,0,892,111,347
2975,Central,multifamily,1.0,1.0,6,2,2,2,Lowest,23,3,0,1,1,0,0,1,1,0,866,108,330
3100,Central,multifamily,1.0,1.0,6,2,2,2,Lowest,23,3,0,1,1,0,0,1,1,0,866,108,330
3000,Central,multifamily,1.0,1.0,6,2,2,2,Lowest,23,0,0,0,0,0,0,0,1,0,866,108,330
4400,Central,multifamily,1.0,1.5,3,3,0,0,High,20,1,0,1,0,0,0,0,1,0,1005,115,391
3200,Central,multifamily,1.0,1.0,7,3,2,2,Low,23,6,1,1,1,1,1,1,1,0,884,107,348
3200,Central,multifamily,1.0,1.0,6,2,2,2,Lowest,23,1,0,1,0,0,0,0,1,0,866,108,330
6900,Central,multifamily,4.0,3.0,6,2,2,2,Lowest,23,3,0,1,1,0,0,1,1,0,866,108,330
6500,Central,multifamily,2.0,2.0,3,3,0,0,High,20,6,1,1,1,1,1,1,1,0,1005,115,391
8750,Central,multifamily,2.0,2.5,7,3,2,2,Low,23,6,1,1,1,1,1,1,1,0,885,109,343
4300,Central,multifamily,2.0,2.0,7,3,2,2,High,25,5,1,0,1,1,1,1,1,0,871,107,341
4250,Central,multifamily,2.0,2.0,3,2,1,0,High,25,1,0,1,0,0,0,0,1,0,900,109,350
4300,Central,multifamily,2.0,2.0,7,3,2,2,High,25,5,1,0,1,1,1,1,1,0,871,107,341
3700,Central,multifamily,1.0,1.0,3,2,1,0,High,25,6,1,1,1,1,1,1,1,0,900,109,350
9500,Central,multifamily,2.0,2.0,7,3,2,2,Low,23,6,1,1,1,1,1,1,1,0,884,107,348
5500,Central,multifamily,2.0,2.0,3,3,0,0,High,20,6,1,1,1,1,1,1,1,0,1005,115,391
6000,Central,multifamily,2.0,2.0,3,3,0,0,High,20,1,0,1,0,0,0,0,1,0,1005,115,391
8500,Central,multifamily,2.0,2.0,7,3,2,2,High,25,4,0,1,1,1,0,1,1,0,871,107,341
8400,Central,multifamily,2.0,2.0,3,1,1,1,Lowest,23,5,1,1,1,1,1,0,1,0,864,109,329
3750,Central,multifamily,1.0,1.0,7,3,2,2,Low,23,1,0,1,0,0,0,0,1,0,885,109,343
4600,Central,multifamily,2.0,2.0,3,3,0,0,High,20,6,1,1,1,1,1,1,1,0,1005,115,391
24000,Central,multifamily,3.0,3.5,7,3,2,2,Low,23,6,1,1,1,1,1,1,1,0,885,109,343
10000,Central,multifamily,1.0,2.0,6,2,2,2,Lowest,23,4,1,1,0,1,1,0,1,0,866,108,330
10000,Central,multifamily,1.0,2.0,6,2,2,2,Lowest,23,3,1,0,0,1,1,0,1,0,866,108,330
9200,Central,multifamily,2.0,2.0,4,2,1,1,Lowest,42,5,1,0,1,1,1,1,1,0,908,110,360
10000,Central,multifamily,1.0,2.0,6,2,2,2,Lowest,23,3,1,0,0,1,1,0,1,0,866,108,330
8500,Central,multifamily,2.0,2.5,4,2,1,1,Lowest,42,0,0,0,0,0,0,0,1,0,908,110,360
1795,Central,multifamily,1.0,1.0,6,4,1,1,High,18,4,1,0,0,1,1,1,0,0,1075,132,417
2100,Central,multifamily,1.0,1.0,6,4,1,1,Highest,18,5,1,0,1,1,1,1,1,1,1090,133,415
1995,Central,multifamily,1.0,1.0,3,1,1,1,Low,18,3,1,1,1,0,0,0,1,0,1088,148,419
2500,Central,multifamily,1.0,1.0,8,6,1,1,Highest,18,4,1,0,1,1,1,0,1,0,1096,133,415
3990,Central,multifamily,2.0,2.0,3,1,1,1,Lowest,18,5,1,0,1,1,1,1,1,0,1090,136,421
5400,Central,multifamily,2.0,2.0,6,4,1,1,Highest,18,5,1,0,1,1,1,1,1,0,1093,136,416
7500,Central,multifamily,2.0,2.5,8,6,1,1,Highest,18,2,0,0,1,0,0,1,1,0,1090,133,415
4911,Central,apartment,3.0,3.0,4,2,1,1,High,18,6,1,1,1,1,1,1,1,1,1061,135,414
3500,Central,multifamily,1.0,1.0,6,4,1,1,Highest,18,1,0,1,0,0,0,0,1,0,1093,136,416
4099,Central,apartment,2.0,2.0,5,3,1,1,High,28,0,0,0,0,0,0,0,0,0,1095,135,418
2575,Central,apartment,1.0,1.0,6,4,1,1,High,28,1,1,0,0,0,0,0,1,0,1110,137,421
4656,Central,apartment,2.0,2.0,6,4,1,1,High,18,6,1,1,1,1,1,1,1,1,1075,132,417
2500,Central,multifamily,2.0,1.0,3,1,1,1,Low,18,0,0,0,0,0,0,0,1,0,1087,140,421
2500,Central,multifamily,2.0,1.0,3,1,1,1,Low,18,0,0,0,0,0,0,0,1,0,1087,140,421
1700,Central,multifamily,1.0,1.0,3,1,1,1,Moderate,18,1,1,0,0,0,0,0,1,0,1049,136,410
2450,Central,multifamily,2.0,1.0,4,2,1,1,Moderate,18,4,1,0,0,1,1,1,1,0,1078,136,422
2200,Central,multifamily,2.0,1.0,3,1,1,1,Moderate,18,2,0,1,0,0,0,1,1,0,1060,135,414
3025,Central,multifamily,2.0,1.0,4,2,1,1,High,18,2,1,1,0,0,0,0,1,0,1049,135,410
2850,Central,multifamily,2.0,1.0,3,1,1,1,Low,18,0,0,0,0,0,0,0,1,0,1087,140,421
3900,Central,multifamily,3.0,1.5,3,1,1,1,Low,18,3,1,0,1,0,0,1,1,0,1087,144,414
3200,Central,multifamily,2.0,1.0,4,2,1,1,Moderate,18,4,1,1,1,0,0,1,1,0,1078,136,422
3195,Central,multifamily,2.0,1.0,3,1,1,1,Low,18,4,1,1,1,0,0,1,1,0,1087,140,421
2800,Central,multifamily,2.0,1.0,3,1,1,1,Lowest,18,1,1,0,0,0,0,0,1,0,1097,146,423
2300,Central,multifamily,1.0,1.0,3,1,1,1,Low,18,0,0,0,0,0,0,0,1,0,1087,140,421
3000,Central,multifamily,2.0,1.0,3,1,1,1,Low,18,2,0,0,1,0,0,1,1,0,1092,139,426
2295,Central,multifamily,1.0,1.0,3,1,1,1,Low,18,4,1,1,1,0,0,1,1,0,1087,140,421
2195,Central,multifamily,1.0,1.0,3,1,1,1,Low,18,1,0,1,0,0,0,0,1,0,1087,140,421
3300,Central,multifamily,2.0,2.0,3,1,1,1,Low,18,2,1,1,0,0,0,0,1,1,1090,136,421
2395,Central,multifamily,1.0,1.0,3,1,1,1,Low,18,4,1,1,1,0,0,1,1,0,1087,140,421
2500,Central,multifamily,1.0,1.0,8,6,1,1,Highest,18,0,0,0,0,0,0,0,1,0,1090,133,415
2195,Central,multifamily,1.0,1.0,3,1,1,1,Low,18,3,0,1,1,0,0,1,1,0,1087,140,421
2550,Central,multifamily,1.0,1.0,8,6,1,1,Highest,18,1,0,1,0,0,0,0,1,0,1090,133,415
2700,Central,multifamily,1.0,1.0,8,6,1,1,Highest,18,3,0,1,1,0,0,1,1,0,1090,133,415
2895,Central,multifamily,1.0,1.0,8,6,1,1,Highest,18,4,1,1,1,0,0,1,1,0,1090,133,415
4600,Central,multifamily,2.0,2.0,8,6,1,1,Highest,18,6,1,1,1,1,1,1,1,0,1096,133,415
3850,Central,condo,1.0,2.0,6,4,1,1,Highest,18,3,0,1,1,0,0,1,0,1,1093,136,416
4350,Central,multifamily,1.0,1.0,6,4,1,1,High,18,6,1,1,1,1,1,1,1,0,1079,136,413
5000,Central,multifamily,2.0,2.0,8,6,1,1,Highest,18,3,0,1,1,0,0,1,1,0,1090,133,415
4800,Central,multifamily,2.0,2.0,8,6,1,1,Highest,18,1,0,1,0,0,0,0,1,0,1096,133,415
6200,Central,multifamily,2.0,2.0,6,4,1,1,High,18,6,1,1,1,1,1,1,1,0,1079,136,413
5000,Central,multifamily,2.0,2.0,6,4,1,1,High,18,6,1,1,1,1,1,1,1,0,1079,136,413
6600,Central,multifamily,2.0,2.5,8,6,1,1,Highest,18,6,1,1,1,1,1,1,1,0,1090,133,415
4000,Central,multifamily,1.0,1.0,8,6,1,1,Highest,18,6,1,1,1,1,1,1,1,0,1090,133,415
24000,Central,multifamily,3.0,3.5,6,4,1,1,High,18,0,0,0,0,0,0,0,1,0,1093,136,416
15000,Central,multifamily,3.0,4.5,8,6,1,1,Highest,18,6,1,1,1,1,1,1,1,0,1090,133,415
3300,Central,multifamily,3.0,1.0,4,2,1,1,Moderate,18,4,1,0,0,1,1,1,1,0,1078,136,422
2400,Central,multifamily,2.0,1.0,4,2,1,1,High,18,6,1,1,1,1,1,1,1,0,1028,133,400
2200,Central,multifamily,2.0,1.0,3,1,1,1,Lowest,18,2,1,1,0,0,0,0,1,0,1097,146,423
2400,Central,multifamily,2.0,1.0,4,2,1,1,Moderate,18,4,1,0,0,1,1,1,1,0,1078,136,422
2500,Central,multifamily,2.0,1.0,4,2,1,1,High,18,5,1,0,1,1,1,1,1,0,1060,135,414
2000,Central,multifamily,1.0,1.0,3,1,1,1,Lowest,18,2,1,0,0,0,0,1,1,0,1097,146,423
2000,Central,multifamily,1.0,1.0,3,1,1,1,Lowest,18,1,1,0,0,0,0,0,1,0,1097,146,423
1900,Central,multifamily,1.0,1.0,3,1,1,1,Low,18,4,1,1,1,0,0,1,1,0,1087,140,421
4700,Central,multifamily,3.0,1.0,3,1,1,1,Low,18,3,1,0,0,1,1,0,1,0,1088,148,419
2900,Central,multifamily,2.0,1.0,4,2,1,1,High,18,2,0,0,1,0,0,1,1,0,1049,135,410
4500,Central,multifamily,3.0,2.0,3,1,1,1,Lowest,18,5,1,1,0,1,1,1,1,0,1097,146,423
2000,Central,multifamily,1.0,1.0,3,1,1,1,Lowest,18,2,1,0,0,0,0,1,1,0,1097,146,423
2150,Central,multifamily,1.0,1.0,3,2,0,1,High,18,0,0,0,0,0,0,0,1,0,1012,132,398
2995,Central,multifamily,2.0,1.0,3,1,1,1,Low,18,3,0,1,1,0,0,1,1,0,1087,140,421
2300,Central,multifamily,1.0,1.0,3,1,1,1,Low,18,1,1,0,0,0,0,0,1,0,1087,140,421
2100,Central,multifamily,1.0,1.0,6,4,1,1,Highest,18,1,1,0,0,0,0,0,1,0,1090,133,415
2900,Central,multifamily,2.0,2.0,4,2,1,1,High,18,4,1,1,0,1,1,0,1,0,1049,135,410
2400,Central,multifamily,1.0,1.0,4,2,1,1,High,18,6,1,1,1,1,1,1,1,0,1049,135,410
2250,Central,multifamily,1.0,1.0,4,2,1,1,High,18,2,1,1,0,0,0,0,1,1,1028,133,400
2900,Central,multifamily,2.0,2.0,4,2,1,1,High,18,0,0,0,0,0,0,0,1,0,1049,135,410
2100,Central,multifamily,1.0,1.0,4,2,1,1,High,18,1,1,0,0,0,0,0,1,0,1028,133,400
3100,Central,multifamily,2.0,1.5,4,2,1,1,High,18,4,1,1,0,1,1,0,1,0,1049,135,410
2500,Central,multifamily,1.0,1.0,8,6,1,1,Highest,18,3,0,1,1,0,0,1,1,0,1090,133,415
4500,Central,multifamily,4.0,2.0,3,1,1,1,Low,18,4,1,0,0,1,1,1,1,0,1093,147,423
2275,Central,multifamily,1.0,1.0,3,2,0,1,High,18,1,1,0,0,0,0,0,1,0,1012,132,398
2550,Central,multifamily,1.0,1.0,8,6,1,1,Highest,18,2,0,0,1,0,0,1,1,0,1090,133,415
2650,Central,multifamily,1.0,1.0,8,6,1,1,Highest,18,1,0,1,0,0,0,0,1,0,1096,133,415
4600,Central,multifamily,4.0,2.0,3,1,1,1,Lowest,18,4,1,1,0,1,1,0,1,0,1097,146,423
2700,Central,multifamily,1.0,1.0,8,6,1,1,Highest,18,6,1,1,1,1,1,1,1,0,1096,133,415
2700,Central,multifamily,1.0,1.0,8,6,1,1,Highest,18,3,0,1,1,0,0,1,1,0,1090,133,415
2900,Central,multifamily,1.0,1.0,8,6,1,1,Highest,18,1,0,1,0,0,0,0,1,0,1090,133,415
3200,Central,multifamily,2.0,2.0,6,4,1,1,High,28,1,1,0,0,0,0,0,1,0,1110,137,421
7250,Central,multifamily,3.0,3.0,6,4,1,1,High,18,1,0,1,0,0,0,0,1,0,1079,136,413
2800,Central,multifamily,1.0,1.0,8,6,1,1,Highest,18,6,1,1,1,1,1,1,1,0,1096,133,415
6995,Central,multifamily,3.0,2.0,6,4,1,1,High,18,6,1,1,1,1,1,1,1,1,1079,136,413
5200,Central,multifamily,2.0,3.0,6,4,1,1,Highest,18,0,0,0,0,0,0,0,1,0,1093,136,416
5200,Central,multifamily,2.0,3.0,6,4,1,1,Highest,18,3,0,1,1,0,0,1,1,0,1093,136,416
3350,Central,multifamily,1.0,1.0,6,4,1,1,Highest,18,2,0,1,1,0,0,0,1,0,1093,136,416
3200,Central,multifamily,1.0,1.0,8,6,1,1,Highest,18,2,1,1,0,0,0,0,1,0,1090,133,415
3500,Central,multifamily,1.0,1.0,6,4,1,1,Highest,18,2,1,1,0,0,0,0,1,0,1093,136,416
3500,Central,multifamily,1.0,1.0,8,6,1,1,Highest,18,0,0,0,0,0,0,0,1,0,1093,136,416
6350,Central,multifamily,3.0,2.0,6,4,1,1,High,18,6,1,1,1,1,1,1,1,0,1079,136,413
5400,Central,multifamily,2.0,2.0,6,4,1,1,Highest,18,2,1,1,0,0,0,0,1,1,1093,136,416
6950,Central,multifamily,3.0,2.0,6,4,1,1,High,18,1,0,1,0,0,0,0,1,0,1079,136,413
6995,Central,multifamily,3.0,2.0,6,4,1,1,High,18,6,1,1,1,1,1,1,1,0,1079,136,413
4000,Central,multifamily,1.0,1.0,6,4,1,1,High,18,4,1,1,0,1,1,0,1,0,1079,136,413
3850,Central,multifamily,1.0,1.0,6,4,1,1,High,18,2,1,1,0,0,0,0,1,0,1079,136,413
3900,Central,multifamily,1.0,1.0,6,4,1,1,High,18,4,1,1,0,1,1,0,1,1,1079,136,413
5800,Central,multifamily,2.0,2.0,6,4,1,1,High,18,4,1,1,0,1,1,0,1,1,1079,136,413
4100,Central,multifamily,1.0,1.5,6,4,1,1,High,18,6,1,1,1,1,1,1,1,0,1079,136,413
7500,Central,multifamily,2.0,2.5,7,5,1,1,Highest,18,2,1,1,0,0,0,0,1,1,1074,126,407
8250,Central,multifamily,3.0,3.0,6,4,1,1,High,18,4,1,0,0,1,1,1,1,0,1079,136,413
4000,Central,multifamily,1.0,1.5,6,4,1,1,High,18,1,1,0,0,0,0,0,1,0,1079,136,413
5400,Central,multifamily,2.0,2.0,6,4,1,1,High,18,5,1,0,1,1,1,1,1,0,1079,136,413
5400,Central,multifamily,2.0,2.0,6,4,1,1,High,18,5,1,0,1,1,1,1,1,0,1079,136,413
5200,Central,multifamily,2.0,2.0,8,6,1,1,Highest,18,5,1,0,1,1,1,1,1,0,1090,133,415
4995,Central,multifamily,2.0,2.0,8,6,1,1,Highest,18,1,0,1,0,0,0,0,1,0,1090,133,415
5000,Central,multifamily,2.0,2.0,6,4,1,1,High,18,6,1,1,1,1,1,1,1,0,1079,136,413
5000,Central,multifamily,2.0,2.0,8,6,1,1,Highest,18,1,0,1,0,0,0,0,1,0,1090,133,415
5000,Central,multifamily,2.0,2.0,6,4,1,1,High,18,6,1,1,1,1,1,1,1,0,1079,136,413
4000,Central,multifamily,1.0,1.5,8,6,1,1,Highest,18,6,1,1,1,1,1,1,1,0,1090,133,415
4000,Central,multifamily,1.0,1.0,6,4,1,1,High,18,6,1,1,1,1,1,1,1,0,1079,136,413
4000,Central,multifamily,1.0,1.0,6,4,1,1,High,18,6,1,1,1,1,1,1,1,0,1079,136,413
3950,Central,multifamily,1.0,1.0,6,4,1,1,High,18,1,0,1,0,0,0,0,1,0,1079,136,413
4000,Central,multifamily,1.0,1.0,6,4,1,1,High,18,6,1,1,1,1,1,1,1,0,1079,136,413
3850,Central,multifamily,1.0,1.0,6,4,1,1,High,18,1,0,1,0,0,0,0,1,0,1079,136,413
5800,Central,multifamily,2.0,2.0,6,4,1,1,High,18,1,0,1,0,0,0,0,1,0,1079,136,413
6500,Central,multifamily,2.0,2.5,8,6,1,1,Highest,18,5,1,0,1,1,1,1,1,0,1090,133,415
6450,Central,multifamily,2.0,2.0,6,4,1,1,High,18,6,1,1,1,1,1,1,1,0,1079,136,413
7500,Central,multifamily,2.0,2.0,8,6,1,1,Highest,18,6,1,1,1,1,1,1,1,0,1096,133,415
4000,Central,condo,1.0,2.0,6,4,1,1,Highest,18,3,0,1,1,0,0,1,0,0,1093,136,416
4000,Central,multifamily,1.0,1.0,6,4,1,1,High,18,1,0,1,0,0,0,0,1,0,1079,136,413
7900,Central,multifamily,2.0,2.5,6,4,1,1,High,18,6,1,1,1,1,1,1,1,0,1093,136,416
6000,Central,multifamily,2.0,2.0,6,4,1,1,High,18,1,0,1,0,0,0,0,1,0,1079,136,413
3600,Central,multifamily,1.0,1.0,8,6,1,1,Highest,18,6,1,1,1,1,1,1,1,0,1090,133,415
5500,Central,multifamily,2.0,2.0,6,4,1,1,High,18,6,1,1,1,1,1,1,1,0,1093,136,416
5750,Central,multifamily,2.0,2.0,6,4,1,1,High,18,6,1,1,1,1,1,1,1,0,1093,136,416
4200,Central,multifamily,1.0,1.5,6,4,1,1,High,18,1,1,0,0,0,0,0,1,0,1079,136,413
2200,Central,multifamily,1.0,1.0,3,1,1,1,Low,18,2,1,1,0,0,0,0,1,0,1087,140,421
30000,Central,multifamily,3.0,3.5,6,4,1,1,High,18,6,1,1,1,1,1,1,1,0,1093,136,416
17000,Central,multifamily,3.0,3.5,6,4,1,1,High,18,6,1,1,1,1,1,1,1,0,1079,136,413
2762,Central,apartment,2.0,2.0,6,4,1,1,High,28,5,1,0,1,1,1,1,1,1,1110,137,421
3575,Central,apartment,3.0,2.0,3,1,1,1,Lowest,18,3,1,0,1,0,0,1,1,1,1090,136,421
2612,Central,apartment,2.0,1.0,4,2,1,1,High,18,2,1,1,0,0,0,0,0,1,1028,133,400
2075,Back Bay/ Beacon Hill,multifamily,2.0,1.0,7,7,0,0,High,21,0,0,0,0,0,0,0,1,0,1058,120,400
2450,Back Bay/ Beacon Hill,multifamily,2.0,1.0,7,7,0,0,High,21,0,0,0,0,0,0,0,1,0,1044,117,383
2650,Back Bay/ Beacon Hill,multifamily,2.0,1.0,7,7,0,0,High,21,4,1,0,0,1,1,1,1,1,1013,118,375
2925,Back Bay/ Beacon Hill,multifamily,2.0,1.0,7,7,0,0,High,21,0,0,0,0,0,0,0,0,0,1044,117,383
2525,Back Bay/ Beacon Hill,multifamily,2.0,1.0,7,7,0,0,High,21,1,0,0,0,0,0,1,1,0,1027,116,381
2600,Back Bay/ Beacon Hill,multifamily,2.0,1.0,7,7,0,0,High,21,1,1,0,0,0,0,0,1,1,1049,121,395
2595,Back Bay/ Beacon Hill,multifamily,2.0,1.0,7,7,0,0,Moderate,21,2,1,0,0,0,0,1,1,0,1043,123,391
2700,Back Bay/ Beacon Hill,multifamily,2.0,1.0,7,7,0,0,High,21,1,1,0,0,0,0,0,1,1,1049,121,395
2800,Back Bay/ Beacon Hill,multifamily,2.0,1.0,7,7,0,0,High,21,5,1,0,1,1,1,1,0,0,1013,118,375
2625,Back Bay/ Beacon Hill,multifamily,2.0,1.0,7,7,0,0,Lowest,21,0,0,0,0,0,0,0,0,0,1074,127,410
2800,Back Bay/ Beacon Hill,multifamily,2.0,1.0,6,5,0,1,Moderate,20,2,0,0,1,0,0,1,0,1,1105,126,421
2750,Back Bay/ Beacon Hill,multifamily,2.0,1.0,7,7,0,0,High,21,4,1,0,0,1,1,1,1,1,1013,118,375
2750,Back Bay/ Beacon Hill,multifamily,2.0,1.0,7,7,0,0,Moderate,21,4,1,0,0,1,1,1,1,1,1039,125,387
2695,Back Bay/ Beacon Hill,multifamily,2.0,1.0,7,7,0,0,High,21,3,1,0,1,0,0,1,1,0,1022,121,377
2100,Back Bay/ Beacon Hill,multifamily,1.0,1.0,8,8,0,0,Lowest,21,0,0,0,0,0,0,0,0,0,1061,124,399
3855,Back Bay/ Beacon Hill,multifamily,3.0,1.0,8,8,0,0,Lowest,21,3,1,0,1,0,0,1,1,0,1061,124,399
2100,Back Bay/ Beacon Hill,multifamily,1.0,1.0,7,7,0,0,Low,21,3,1,0,0,1,1,0,1,0,1087,126,417
2800,Back Bay/ Beacon Hill,multifamily,2.0,1.0,7,7,0,0,High,21,0,0,0,0,0,0,0,1,0,1013,118,375
1900,Back Bay/ Beacon Hill,multifamily,1.0,1.0,7,7,0,0,High,21,0,0,0,0,0,0,0,0,0,1044,117,383
2850,Back Bay/ Beacon Hill,multifamily,2.0,1.0,7,7,0,0,Moderate,21,5,1,0,1,1,1,1,1,1,1039,125,387
2950,Back Bay/ Beacon Hill,multifamily,2.0,1.0,7,7,0,0,High,21,5,1,0,1,1,1,1,1,1,1039,125,387
2640,Back Bay/ Beacon Hill,multifamily,2.0,1.0,7,7,0,0,High,21,0,0,0,0,0,0,0,1,0,1013,118,375
2950,Back Bay/ Beacon Hill,multifamily,2.0,1.0,7,7,0,0,Moderate,21,4,1,0,0,1,1,1,0,0,1039,125,387
2895,Back Bay/ Beacon Hill,multifamily,2.0,1.0,7,7,0,0,Low,21,1,1,0,0,0,0,0,1,0,1087,126,417
2850,Back Bay/ Beacon Hill,multifamily,2.0,1.0,7,7,0,0,Moderate,21,3,1,0,0,1,1,0,1,0,1039,125,387
2950,Back Bay/ Beacon Hill,multifamily,2.0,1.0,7,7,0,0,High,21,4,1,0,1,1,1,0,1,0,1013,118,375
2850,Back Bay/ Beacon Hill,multifamily,2.0,1.0,7,7,0,0,Moderate,21,4,1,0,1,1,1,0,0,0,1039,125,387
2950,Back Bay/ Beacon Hill,multifamily,2.0,1.0,7,7,0,0,Low,21,3,1,0,1,0,0,1,1,0,1069,126,393
2095,Back Bay/ Beacon Hill,multifamily,1.0,1.0,8,8,0,0,Lowest,21,3,1,0,1,0,0,1,1,0,1061,124,399
2200,Back Bay/ Beacon Hill,multifamily,1.0,1.0,8,8,0,0,Lowest,21,0,0,0,0,0,0,0,0,0,1061,124,399
3050,Back Bay/ Beacon Hill,multifamily,2.0,1.0,7,7,0,0,High,21,1,0,0,0,0,0,1,0,0,1049,121,395
3125,Back Bay/ Beacon Hill,multifamily,2.0,1.0,7,7,0,0,Lowest,21,0,0,0,0,0,0,0,0,0,1074,127,410
3075,Back Bay/ Beacon Hill,multifamily,2.0,1.0,7,7,0,0,Lowest,21,5,1,0,1,1,1,1,0,0,1074,127,410
3550,Back Bay/ Beacon Hill,multifamily,2.0,1.0,7,7,0,0,High,21,0,0,0,0,0,0,0,0,0,1044,117,383
3095,Back Bay/ Beacon Hill,multifamily,2.0,1.0,7,7,0,0,Low,21,2,0,0,1,0,0,1,1,0,1087,126,417
3000,Back Bay/ Beacon Hill,multifamily,2.0,1.0,7,7,0,0,High,21,0,0,0,0,0,0,0,1,0,1044,117,383
2995,Back Bay/ Beacon Hill,multifamily,2.0,1.0,7,7,0,0,Low,21,0,0,0,0,0,0,0,0,0,1087,126,417
2250,Back Bay/ Beacon Hill,multifamily,1.0,1.0,8,8,0,0,Lowest,21,3,1,0,0,1,1,0,0,0,1074,127,410
2900,Back Bay/ Beacon Hill,multifamily,2.0,1.0,7,7,0,0,Lowest,21,0,0,0,0,0,0,0,1,0,1049,121,395
2860,Back Bay/ Beacon Hill,multifamily,2.0,1.0,7,7,0,0,High,21,0,0,0,0,0,0,0,1,0,1013,118,375
2900,Back Bay/ Beacon Hill,multifamily,2.0,1.0,7,7,0,0,Lowest,21,0,0,0,0,0,0,0,1,0,1049,121,395
2300,Back Bay/ Beacon Hill,multifamily,1.0,1.0,6,6,0,0,Moderate,21,0,0,0,0,0,0,0,0,1,1069,126,395
2375,Back Bay/ Beacon Hill,multifamily,1.0,1.0,6,6,0,0,Moderate,21,0,0,0,0,0,0,0,0,0,1069,126,395
