rent,area,property_type,bed,bath,school,elemenatary_school,middle_school,high_school,crime,car_commute_percent,total_amenties,laundry,ac,dishwasher,washer,dryer,fridge,pet_allowed,parking,restaurant,grocery,nightlife,url
2400,Hyde Park,multifamily,3.0,1.0,6,4,1,1,Low,59,0,0,0,0,0,0,0,1,0,30,9,2,https://www.trulia.com/p/ma/mattapan/24-rector-rd-mattapan-ma-02126--2001507791
2000,Allston,multifamily,2.0,1.0,23,7,8,8,Lowest,31,3,1,0,0,1,1,0,1,0,304,39,66,https://www.trulia.com/p/ma/boston/address-not-disclosed-boston-ma-02134--2172244669
7100,Central,multifamily,2.0,2.0,5,5,0,0,Lowest,21,6,1,1,1,1,1,1,1,0,944,114,334,https://www.trulia.com/p/ma/boston/175-blossom-st-6-03-boston-ma-02114--2366886532
950,Roslindale,multifamily,1.0,1.0,0,0,0,0,Lowest,66,2,1,1,0,0,0,0,1,0,77,17,14,https://www.trulia.com/p/ma/roslindale/35-farquhar-st-roslindale-ma-02131--2471824616
2600,Allston,multifamily,3.0,1.0,25,7,9,9,Low,31,0,0,0,0,0,0,0,0,0,314,41,67,https://www.trulia.com/p/ma/boston/132-glenville-ave-b-boston-ma-02134--2171640934
2400,Allston,multifamily,2.0,1.0,20,6,7,7,Lowest,31,0,0,0,0,0,0,0,0,0,312,41,65,https://www.trulia.com/p/ma/boston/4-price-rd-2-boston-ma-02134--2171825295
4600,Allston,multifamily,4.0,2.0,20,6,7,7,Low,31,4,1,0,1,1,1,0,0,0,330,37,67,https://www.trulia.com/p/ma/boston/24-ashford-st-2-boston-ma-02134--2171807862
2800,Back Bay/ Beacon Hill,multifamily,2.0,1.0,7,7,0,0,High,21,5,1,0,1,1,1,1,0,0,1013,118,375,https://www.trulia.com/p/ma/boston/70-joy-st-14-boston-ma-02114--2171829104
2600,East Boston,multifamily,3.0,1.0,10,4,3,3,Low,41,1,0,0,0,0,0,1,1,0,551,67,215,https://www.trulia.com/p/ma/boston/28-orleans-st-3-boston-ma-02128--2171575120
2695,West Roxbury,multifamily,3.0,1.0,4,3,1,0,Lowest,83,1,1,0,0,0,0,0,1,1,42,6,4,https://www.trulia.com/p/ma/west-roxbury/4983-washington-st-1-west-roxbury-ma-02132--2123571686
3300,East Boston,multifamily,4.0,1.0,4,2,0,2,Lowest,41,2,0,0,1,0,0,1,0,1,167,38,34,https://www.trulia.com/p/ma/boston/204-falcon-st-2-boston-ma-02128--2316172057
4400,Roxbury,multifamily,4.0,3.0,18,6,6,6,Low,53,5,1,0,1,1,1,1,0,1,317,41,56,https://www.trulia.com/p/ma/boston/23-linwood-st-1-boston-ma-02119--2289003156
2700,Jamaica Plain,multifamily,3.0,1.0,31,11,10,10,Moderate,42,4,1,0,0,1,1,1,1,1,212,35,29,https://www.trulia.com/p/ma/boston/42-day-st-2-boston-ma-02130--2194564019
3400,Allston,multifamily,4.0,1.0,12,4,4,4,Lowest,31,0,0,0,0,0,0,0,0,1,310,36,72,https://www.trulia.com/p/ma/allston/74-aldie-st-2-allston-ma-02134--2182014534
2900,South Boston,multifamily,1.0,1.0,7,4,3,0,Moderate,53,0,0,0,0,0,0,0,0,1,260,54,78,https://www.trulia.com/p/ma/boston/19-boston-st-1-boston-ma-02127--2001514735
3800,South Boston,multifamily,3.0,1.0,10,4,3,3,Lowest,53,6,1,1,1,1,1,1,1,0,106,22,46,https://www.trulia.com/p/ma/boston/861-east-broadway-a-boston-ma-02127--2001520708
2950,Back Bay/ Beacon Hill,multifamily,2.0,1.0,7,7,0,0,High,21,4,1,0,1,1,1,0,1,0,1013,118,375,https://www.trulia.com/p/ma/boston/70-joy-st-10-boston-ma-02114--2171822752
990,Hyde Park,multifamily,1.0,1.0,14,6,4,4,Lowest,76,4,1,1,0,1,1,0,1,1,36,9,3,https://www.trulia.com/rental/4078998130-Multi-Family-Home-Hyde-Park-MA-02136
3000,East Boston,multifamily,4.0,1.0,11,5,3,3,Lowest,41,5,1,0,1,1,1,1,0,1,284,36,104,https://www.trulia.com/p/ma/boston/143-cottage-st-2-boston-ma-02128--2174569825
1800,Dorchester,multifamily,2.0,1.0,7,3,2,2,Lowest,54,0,0,0,0,0,0,0,1,0,65,17,14,https://www.trulia.com/p/ma/boston/18-becket-st-1-boston-ma-02124--2467470974
970,West Roxbury,multifamily,3.0,1.0,2,1,1,0,Lowest,83,1,1,0,0,0,0,0,1,1,48,6,5,https://www.trulia.com/rental/4050058376-640-Lagrange-St-1-West-Roxbury-MA-02132
3650,Mission Hill,multifamily,4.0,1.0,28,10,9,9,Lowest,23,0,0,0,0,0,0,0,0,1,326,45,68,https://www.trulia.com/p/ma/boston/149-calumet-st-1-boston-ma-02120--2121184451
3000,Back Bay/ Beacon Hill,multifamily,2.0,1.0,7,7,0,0,Low,21,1,1,0,0,0,0,0,1,0,1085,129,412,https://www.trulia.com/p/ma/boston/90-revere-st-3-boston-ma-02114--2172932919
2295,Allston,multifamily,2.0,1.0,22,8,7,7,Lowest,31,0,0,0,0,0,0,0,0,0,312,40,65,https://www.trulia.com/p/ma/boston/240-kelton-st-1-boston-ma-02134--2001584455
2600,East Boston,multifamily,2.0,1.0,11,7,4,0,Low,41,1,0,0,0,0,0,1,1,1,225,32,69,https://www.trulia.com/p/ma/boston/167-chelsea-st-2-boston-ma-02128--2171577341
2500,South Boston,multifamily,2.0,1.0,15,5,5,5,Lowest,53,1,1,0,0,0,0,0,1,0,416,76,141,https://www.trulia.com/p/ma/boston/143-w-8th-st-4-c-boston-ma-02127--2480052785
